Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
traceless_hair_clip,94.3,99.3,95.2,96.7,68.9,63.0,75.6,76.9,36.9,13.8,97.1,99.6,96.6,44.0,20.0,4.0
travel_switch,78.2,96.5,94.2,81.3,20.8,29.3,65.6,83.2,75.2,62.4,86.1,97.8,94.6,76.0,56.0,40.0
travel_switch_green,85.2,98.0,94.2,89.3,44.3,45.7,75.4,93.6,69.6,56.8,95.0,99.3,96.1,48.0,28.0,12.0
tubular_key_switch,90.0,98.6,94.7,64.4,28.3,33.8,74.4,71.2,56.0,34.4,94.0,99.1,96.3,48.0,36.0,16.0
vacuum_switch,74.3,95.9,94.5,98.1,68.5,64.0,91.0,79.2,72.8,60.8,81.3,97.3,94.1,96.0,84.0,72.0
vehicle_harness_conductor,85.6,96.6,94.3,94.1,46.5,50.7,90.1,67.3,52.3,39.2,82.0,96.4,95.7,60.0,48.0,36.0
vertical-adjustable-resistor,84.5,95.2,91.1,93.8,52.0,54.4,82.7,69.2,58.1,48.5,89.3,98.3,96.6,40.0,32.0,28.0
vibration_motor,76.7,94.5,92.9,93.4,22.8,26.9,67.7,79.3,68.6,53.3,85.1,97.7,96.6,56.0,48.0,36.0
volume_potentiometer,84.5,96.4,92.8,93.2,60.1,59.6,74.2,71.6,50.8,42.6,85.6,98.1,94.1,92.0,76.0,60.0
wireless_receiver_module,75.3,96.1,94.3,93.5,48.0,42.3,76.9,84.8,79.2,67.2,71.8,95.5,94.1,96.0,72.0,68.0
slipper- model,92.5,98.9,96.0,98.4,72.9,65.8,95.3,56.0,32.8,21.6,97.9,99.7,98.3,20.0,12.0,4.0
Mean,81.8,96.3,94.1,92.1,48.3,48.3,76.5,74.3,62.0,48.9,84.3,97.4,95.8,63.1,52.8,41.7
